Deal Name,Account,Stage,Amount USD,Owner,Close Date,Probability %,Region
Acme Cloud Migration,Acme Corp,Proposal,120000,Priya Nair,2026-08-15,60,EMEA
Globex Data Platform,Globex Ltd,Negotiation,240000,Daniel Cho,2026-07-28,80,AMER
Initech Support Renewal,Initech,Closed Won,45000,Sara Voss,2026-06-30,100,AMER
Umbrella Analytics Suite,Umbrella Inc,Qualification,180000,Priya Nair,2026-09-10,30,EMEA
Soylent CRM Rollout,Soylent Co,Proposal,95000,Marcus Lee,2026-08-05,55,APAC
Hooli Security Audit,Hooli,Prospecting,60000,Daniel Cho,2026-10-01,20,AMER
Stark Infra Upgrade,Stark Industries,Negotiation,320000,Sara Voss,2026-07-22,75,AMER
Wayne IoT Pilot,Wayne Enterprises,Closed Lost,150000,Marcus Lee,2026-06-18,0,AMER
Wonka Ordering Portal,Wonka Industries,Qualification,72000,Priya Nair,2026-09-20,35,EMEA
Cyberdyne ML Platform,Cyberdyne Systems,Proposal,410000,Daniel Cho,2026-08-30,50,APAC
Tyrell Compliance Pack,Tyrell Corp,Negotiation,88000,Sara Voss,2026-07-31,70,EMEA
Massive Dynamic Warehouse,Massive Dynamic,Prospecting,135000,Marcus Lee,2026-10-15,15,AMER
Aperture Test Suite,Aperture Science,Closed Won,52000,Priya Nair,2026-06-25,100,EMEA
Oscorp Portal Redesign,Oscorp,Proposal,110000,Daniel Cho,2026-09-05,45,AMER
Nakatomi Access Control,Nakatomi Trading,Qualification,64000,Sara Voss,2026-09-28,30,APAC
Gekko Trading Dashboard,Gekko Capital,Negotiation,205000,Marcus Lee,2026-08-12,85,AMER
Pied Piper Compression,Pied Piper,Prospecting,48000,Priya Nair,2026-10-20,25,AMER
Vandelay Logistics ERP,Vandelay Industries,Proposal,175000,Daniel Cho,2026-08-22,60,EMEA
